"SRR4785819"	"SRR4785820"	"SRR4785828"	"SRR4785831"	"SRR4785979"	"SRR4785980"	"SRR4785986"	"SRR4785988"
"UAP1"	8703	747	1193	1115	1215	9337	11877	7035
"UAP1L1"	2599	877	304	172	1617	150	191	321
"UBA1"	7826	1016	964	830	930	3907	3185	3570
"UBA2"	2232	288	477	471	389	2543	3005	3366
"UBA3"	1084	342	169	123	106	1592	1889	1277
"UBA5"	1801	526	275	277	565	1939	2436	1777
"UBA52"	2049	2351	3512	2006	2515	5483	5522	5177
"UBA52P3"	3	0	0	0	1	3	2	0
"UBA52P5"	8	0	0	0	0	8	4	0
"UBA52P6"	7	0	0	0	3	6	7	0
"UBA52P7"	0	0	0	0	0	0	0	0
"UBA52P8"	175	0	0	0	7	35	38	89
"UBA52P9"	0	0	0	0	0	0	0	0
"UBA6"	2431	293	298	238	737	3506	6001	2571
"UBA7"	2495	203	292	212	468	1792	2470	1394
"UBAC1"	1050	135	178	142	119	1328	839	573
"UBAC2"	3276	564	270	228	524	2368	2629	1774
"UBALD1"	556	167	116	75	28	52	113	52
"UBALD2"	279	16	74	49	25	141	29	105
"UBAP1"	1556	309	342	271	369	1459	1388	1405
"UBAP1L"	1514	87	71	39	46	439	330	355
"UBAP2"	1529	440	528	347	404	1594	1561	1777
"UBAP2L"	4199	1099	864	608	540	2895	2696	2648
"UBASH3A"	220	17	17	15	84	122	269	133
"UBASH3B"	492	136	70	64	159	750	1106	662
"UBB"	6943	1671	2262	1967	1726	10531	10455	13830
"UBBP1"	0	0	0	0	2	0	1	0
"UBBP2"	4	0	0	0	0	0	0	0
"UBBP3"	0	0	0	0	1	0	0	0
"UBBP4"	9	0	0	0	0	0	2	1
"UBBP5"	0	0	0	0	0	0	0	0
"UBC"	27575	5898	6743	6008	6122	28270	41261	36973
"UBD"	14	0	18	3	28	22	1052	100
"UBDP1"	0	0	0	0	0	0	0	0
"UBE2A"	630	217	186	145	142	748	1254	929
"UBE2B"	1682	188	383	274	154	2030	1685	1663
"UBE2C"	19	14	19	0	1	76	46	18
"UBE2CP1"	133	0	5	12	23	5	0	87
"UBE2CP2"	0	0	0	0	1	9	6	19
"UBE2CP3"	20	0	0	0	6	71	60	37
"UBE2CP4"	0	0	0	0	0	0	0	2
"UBE2D1"	223	119	132	84	158	1134	689	474
"UBE2D2"	1049	459	425	235	504	1791	1858	1761
"UBE2D3"	6405	1145	1460	1090	2151	11634	14114	9474
"UBE2D3P1"	0	0	0	0	0	0	0	0
"UBE2D3P2"	46	0	0	0	1	63	62	25
"UBE2D3P3"	10	0	0	0	2	0	0	0
"UBE2D3P4"	0	0	3	0	0	0	0	0
"UBE2D4"	954	290	312	229	209	996	741	1161
"UBE2DNL"	2	0	0	0	0	0	0	0
"UBE2E1"	935	497	477	337	277	1948	1926	1272
"UBE2E2"	508	39	137	82	235	1519	1377	929
"UBE2E3"	2519	279	383	210	517	2355	1394	1715
"UBE2E4P"	0	0	0	0	0	0	0	0
"UBE2F"	832	70	144	113	190	1626	1567	964
"UBE2F-SCLY"	36	0	13	0	16	90	76	54
"UBE2FP1"	28	0	8	0	11	79	66	111
"UBE2FP2"	0	0	0	0	0	0	2	4
"UBE2FP3"	51	0	0	2	9	0	2	121
"UBE2G1"	1022	264	315	170	460	2441	2196	1906
"UBE2G2"	3813	469	400	301	304	3169	3495	2654
"UBE2H"	3498	822	832	730	1168	4891	3807	3648
"UBE2HP1"	0	0	0	0	0	0	0	3
"UBE2I"	1941	568	584	433	325	1076	1361	988
"UBE2J1"	1253	527	500	286	1891	4514	5695	4273
"UBE2J2"	1504	142	106	115	153	212	180	156
"UBE2K"	1918	490	547	422	508	2529	2180	2186
"UBE2L2"	48	0	0	0	3	21	17	27
"UBE2L3"	1297	433	362	386	260	1390	1503	1215
"UBE2L4"	22	23	0	0	10	20	8	3
"UBE2L5"	29	7	20	12	6	40	45	60
"UBE2L6"	697	317	292	400	81	699	1266	632
"UBE2M"	52	138	212	156	51	30	118	63
"UBE2MP1"	0	0	0	0	0	0	0	0
"UBE2N"	857	273	345	324	152	1395	2094	1133
"UBE2NL"	1	0	0	0	0	0	0	0
"UBE2NP1"	0	0	0	0	1	0	0	0
"UBE2O"	1453	304	234	132	236	403	576	867
"UBE2Q1"	1099	228	439	365	77	605	322	899
"UBE2Q2"	1430	781	630	526	492	3189	2485	2141
"UBE2Q2L"	149	18	9	0	7	73	40	69
"UBE2Q2P1"	1219	450	298	154	60	413	341	835
"UBE2Q2P10"	0	0	0	0	0	0	0	0
"UBE2Q2P11"	0	0	0	0	0	0	0	0
"UBE2Q2P12"	0	0	0	0	0	0	0	0
"UBE2Q2P2"	205	3	38	26	28	225	201	227
"UBE2Q2P4Y"	0	0	0	0	0	0	0	0
"UBE2Q2P5Y"	0	0	0	0	0	0	0	0
"UBE2Q2P6"	23	0	0	0	2	14	9	52
"UBE2Q2P8"	1	0	0	0	0	0	0	0
"UBE2Q2P9"	0	0	0	0	4	0	0	0
"UBE2QL1"	8	0	0	0	3	38	0	19
"UBE2R2"	1403	567	736	522	467	2086	1705	1707
"UBE2S"	117	47	74	56	22	52	118	45
"UBE2SP1"	13	0	0	0	2	33	6	0
"UBE2SP2"	11	0	0	0	0	6	15	0
"UBE2T"	13	0	10	1	9	0	105	1
"UBE2U"	0	0	0	0	0	2	4	0
"UBE2V1"	2468	291	501	227	520	1347	1443	1823
"UBE2V1P1"	157	0	0	0	7	100	68	48
"UBE2V1P10"	0	0	0	0	0	0	0	0
"UBE2V1P11"	2	0	0	0	0	0	0	0
"UBE2V1P12"	0	0	0	0	0	0	0	0
"UBE2V1P13"	0	16	0	0	2	2	4	0
"UBE2V1P14"	0	0	0	0	0	0	0	0
"UBE2V1P15"	40	0	0	0	4	18	23	20
"UBE2V1P16"	0	0	0	0	0	0	0	0
"UBE2V1P2"	6	29	0	0	0	0	0	5
"UBE2V1P3"	0	0	0	0	0	0	0	0
"UBE2V1P4"	0	0	0	0	0	0	0	0
"UBE2V1P5"	0	0	0	0	1	0	4	0
"UBE2V1P6"	0	0	4	0	4	4	0	0
"UBE2V1P7"	1	0	0	0	0	3	0	9
"UBE2V1P8"	0	0	0	0	0	0	0	0
"UBE2V1P9"	0	0	0	0	0	0	0	0
"UBE2V2"	949	296	230	245	121	1499	1037	990
"UBE2V2P1"	0	0	0	0	0	0	0	0
"UBE2V2P2"	0	0	1	0	4	12	23	11
"UBE2V2P3"	4	0	0	0	2	11	29	21
"UBE2V2P4"	15	0	0	0	0	0	12	12
"UBE2W"	1565	276	298	196	633	3696	3848	1945
"UBE2WP1"	0	0	0	0	0	0	0	0
"UBE2Z"	2251	714	393	355	295	1670	1778	1420
"UBE3A"	5488	795	760	493	2205	7981	10028	7252
"UBE3AP2"	5	0	0	0	3	4	17	0
"UBE3B"	3228	422	269	209	349	2014	1576	2077
"UBE3C"	3598	539	624	426	1135	5689	5207	4441
"UBE3D"	667	79	85	48	88	699	927	629
"UBE4A"	2578	170	358	238	897	4623	4155	4182
"UBE4B"	3669	321	527	575	641	2825	2342	2704
"UBFD1"	1275	196	227	312	126	1005	1026	900
"UBFD1P1"	0	0	0	0	0	3	0	12
"UBIAD1"	218	45	75	142	141	256	266	236
"UBL3"	3114	670	1011	714	437	4246	3616	2652
"UBL4A"	139	243	181	109	59	446	193	154
"UBL4B"	0	0	0	0	0	2	4	0
"UBL5"	514	274	489	380	62	974	772	513
"UBL5P1"	0	0	0	0	0	0	0	0
"UBL5P2"	0	0	0	0	0	1	0	4
"UBL5P3"	0	0	0	0	1	0	0	0
"UBL5P4"	17	0	0	0	1	0	12	8
"UBL7"	603	183	138	93	50	345	392	420
"UBLCP1"	954	176	210	82	238	1693	2061	983
"UBN1"	3166	375	505	409	480	2721	1373	3198
"UBN2"	3897	353	429	392	1000	5352	4899	4438
"UBOX5"	615	87	390	252	126	468	364	121
"UBP1"	2403	348	754	369	421	3436	3516	2305
"UBQLN1"	3434	601	558	536	1292	5838	6007	4504
"UBQLN1P1"	0	0	0	0	0	0	0	0
"UBQLN2"	1396	196	324	194	406	1425	884	1214
"UBQLN3"	63	0	0	0	0	20	12	50
"UBQLN4"	580	457	214	155	77	42	386	327
"UBQLN4P1"	1	30	3	0	0	2	2	0
"UBQLN4P2"	0	0	0	0	0	0	2	0
"UBQLNL"	51	0	0	2	0	60	38	48
"UBR1"	3195	380	238	271	694	4504	6220	3600
"UBR2"	6275	854	657	602	1549	7779	8286	8663
"UBR3"	5297	300	402	300	925	6887	6579	7726
"UBR4"	17119	1664	1036	1072	3877	20282	15806	14925
"UBR5"	8861	1016	1091	1097	2570	11612	13123	12518
"UBR7"	579	307	217	217	343	1056	875	217
"UBTD1"	313	154	83	29	1	262	1	195
"UBTD2"	1327	272	441	256	357	2082	1518	1260
"UBTF"	5682	2233	1080	958	401	690	1053	1325
"UBTFL1"	0	0	0	0	2	1	0	0
"UBTFL10"	0	0	0	0	0	0	0	0
"UBTFL11"	42	7	0	0	7	29	38	22
"UBTFL2"	0	0	0	0	0	0	0	0
"UBTFL3"	0	0	0	0	0	0	0	0
"UBTFL5"	1	0	0	0	0	0	4	0
"UBTFL6"	1	0	0	0	0	0	3	0
"UBTFL7"	0	0	0	0	0	0	0	0
"UBTFL8"	0	0	0	0	0	0	0	0
"UBTFL9"	3	0	2	2	0	2	5	0
"UBXN1"	453	738	378	434	13	280	258	43
"UBXN10"	5	70	22	12	1	98	60	92
"UBXN11"	3294	266	191	160	222	635	102	165
"UBXN2A"	808	370	607	385	335	1150	1185	1158
"UBXN2B"	1381	276	300	202	423	1790	1858	2126
"UBXN4"	3266	516	563	510	896	5267	5657	4415
"UBXN6"	2226	943	643	502	138	896	279	1447
"UBXN7"	3388	743	863	852	875	4488	3729	3931
"UBXN8"	895	70	79	85	191	740	831	988
"UCHL1"	558	45	56	48	27	123	159	311
"UCHL3"	429	55	79	54	192	666	784	297
"UCHL5"	1106	105	105	123	33	1986	2144	1627
"UCK1"	487	336	200	251	90	18	141	179
"UCK2"	691	125	86	61	47	1019	1137	1010
"UCKL1"	2035	153	86	127	167	31	212	221
"UCMA"	0	0	0	0	0	0	0	0
"UCN"	8	0	7	5	0	8	0	5
"UCN2"	0	0	0	0	0	0	0	3
"UCN3"	3	0	4	4	1	2	0	10
"UCP1"	10	0	0	0	0	19	4	12
"UCP2"	1389	383	478	317	764	1993	1756	1018
"UCP3"	137	0	0	4	19	39	13	30
"UEVLD"	1072	302	308	183	107	1551	1516	1560
"UFC1"	905	402	325	242	157	434	547	522
"UFD1"	1229	172	243	159	404	1859	1687	1532
"UFL1"	1605	233	235	180	403	2417	2802	2774
"UFM1"	1533	612	734	521	790	4116	4467	2749
"UFM1P1"	0	0	0	0	0	0	0	0
"UFM1P2"	0	0	0	0	0	0	0	0
"UFM1P3"	7	0	0	0	0	0	0	2
"UFSP1"	0	0	10	3	4	3	13	25
"UFSP2"	1307	404	162	146	265	1449	1062	975
"UGCG"	901	122	240	91	814	3918	5585	1815
"UGDH"	4822	1272	1295	1210	25	3835	2117	1970
"UGGT1"	6420	452	601	540	2000	8276	9201	6432
"UGGT2"	3914	782	536	309	521	5117	4123	4667
"UGP2"	4828	1274	1438	1139	1008	7051	7194	5174
"UGT1A1"	368	145	59	17	41	291	312	367
"UGT1A10"	0	0	0	0	0	0	2	11
"UGT1A11P"	0	0	0	0	0	0	0	0
"UGT1A12P"	0	0	0	0	0	0	0	33
"UGT1A13P"	0	0	0	0	0	0	0	7
"UGT1A2P"	0	0	0	0	0	0	0	6
"UGT1A3"	0	21	0	0	3	0	0	0
"UGT1A4"	0	0	0	0	0	0	0	0
"UGT1A5"	0	0	0	0	0	0	0	2
"UGT1A6"	7	0	0	0	4	6	3	10
"UGT1A7"	56	49	3	1	14	108	91	75
"UGT1A8"	0	0	0	0	0	0	0	50
"UGT1A9"	4	0	0	0	0	0	1	5
"UGT2A1"	472	54	36	23	84	299	234	261
"UGT2A2"	0	0	0	0	0	0	0	0
"UGT2A3"	0	37	0	0	0	1	0	0
"UGT2A3P7"	0	0	0	0	0	0	0	0
"UGT2B10"	9	0	25	8	3	15	24	13
"UGT2B11"	0	2	0	0	1	0	2	6
"UGT2B15"	2	13	1	0	3	8	3	4
"UGT2B17"	55	0	0	0	35	17	6	59
"UGT2B24P"	0	0	0	0	0	0	0	0
"UGT2B25P"	0	0	0	0	0	0	0	0
"UGT2B26P"	0	35	0	0	0	0	0	0
"UGT2B27P"	0	0	0	0	1	0	0	0
"UGT2B28"	0	0	0	0	0	1	0	4
"UGT2B29P"	0	0	0	0	0	0	0	0
"UGT2B4"	7	0	1	0	3	3	9	1
"UGT2B7"	28	0	0	0	1	8	12	8
"UGT3A1"	26	24	9	0	4	48	48	39
"UGT3A2"	0	0	0	0	1	0	8	0
"UGT8"	1066	482	351	432	157	572	1214	729
"UHMK1"	2899	792	825	739	1222	6133	7987	4126
"UHRF1"	444	92	98	70	85	195	275	143
"UHRF1BP1"	1509	237	321	325	2361	3663	2258	2011
"UHRF1BP1L"	2406	327	495	356	683	5448	3985	3877
"UHRF2"	2461	177	120	170	569	4035	4788	3341
"UHRF2P1"	482	0	0	11	62	564	184	426
"UIMC1"	1606	247	339	211	247	1317	1534	2106
"ULBP1"	69	23	21	0	10	108	76	91
"ULBP2"	6	0	0	0	11	21	45	9
"ULBP3"	563	92	83	52	79	454	506	418
"ULK1"	2970	708	495	413	325	859	362	925
"ULK2"	1569	155	273	226	200	1059	680	1489
"ULK3"	928	143	130	86	131	599	485	189
"ULK4"	1508	90	73	86	232	1605	1855	1904
"ULK4P1"	28	43	0	0	35	116	9	101
"ULK4P2"	25	0	6	5	15	64	151	142
"ULK4P3"	10	0	18	0	20	61	22	40
"UMAD1"	761	92	93	57	289	845	1313	694
"UMOD"	0	0	4	0	3	0	0	0
"UMODL1"	3	24	0	6	23	45	8	8
"UMPS"	673	148	174	64	225	624	1172	413
"UNC119"	83	0	113	67	32	77	455	121
"UNC119B"	1047	137	360	332	266	497	748	493
"UNC13A"	46	110	51	49	13	56	38	42
"UNC13B"	4543	584	429	473	158	2595	1978	3972
"UNC13C"	20	0	0	14	5	2	9	41
"UNC13D"	751	154	86	96	129	504	562	607
"UNC45A"	1748	534	266	220	206	916	634	432
"UNC45B"	28	48	7	0	3	37	26	50
"UNC50"	1330	245	222	152	255	447	863	1148
"UNC5A"	136	27	4	1	14	47	17	41
"UNC5B"	2061	149	135	78	214	1441	723	385
"UNC5C"	4124	69	152	186	64	684	200	984
"UNC5CL"	207	0	12	12	24	12	62	163
"UNC5D"	5	27	11	0	0	2	0	10
"UNC79"	50	20	37	23	7	62	61	27
"UNC80"	3349	530	239	208	456	2388	2480	2587
"UNC93A"	0	0	0	0	2	0	0	0
"UNC93B1"	1760	438	256	198	2	291	256	679
"UNC93B2"	9	7	0	0	0	1	0	4
"UNC93B3"	4	0	0	0	2	0	0	0
"UNC93B4"	0	18	0	0	0	0	0	0
"UNC93B5"	0	0	0	0	0	0	0	0
"UNC93B6"	0	0	0	0	0	0	0	0
"UNC93B7"	0	0	0	0	0	0	0	0
"UNC93B8"	0	0	0	0	0	0	0	0
"UNCX"	0	0	0	0	0	0	0	0
"UNG"	437	126	135	84	59	381	659	223
"UNGP1"	47	0	5	6	3	26	38	27
"UNGP3"	15	23	3	0	1	51	41	21
"UNK"	2010	330	168	121	46	603	422	840
"UNKL"	1885	440	320	240	113	249	172	321
"UOX"	0	0	0	11	0	0	0	1
"UPB1"	134	104	103	91	24	125	188	131
"UPF1"	5163	817	562	596	124	1696	568	2103
"UPF2"	2373	432	314	344	521	2867	3694	2524
"UPF3A"	1775	728	381	347	393	1401	1548	1379
"UPF3AP1"	0	0	0	0	0	2	0	0
"UPF3AP2"	7	0	0	0	0	3	19	0
"UPF3AP3"	16	35	1	5	19	31	36	7
"UPF3B"	452	74	42	57	32	108	68	219
"UPK1A"	9	29	0	5	0	6	9	2
"UPK1B"	51	0	19	13	10	58	99	109
"UPK2"	78	0	5	0	0	1	3	0
"UPK3A"	4	0	0	0	5	5	3	2
"UPK3B"	136	24	5	0	25	87	76	60
"UPK3BL1"	430	0	153	464	0	33	138	781
"UPK3BL2"	1006	41	32	0	0	174	99	158
"UPK3BP1"	64	0	0	4	1	10	6	2
"UPP1"	1456	143	60	49	201	1017	908	759
"UPP2"	41	47	0	9	7	48	32	79
"UPRT"	479	174	120	100	112	890	1029	622
"UQCC1"	1856	150	143	57	231	2154	2216	2066
"UQCC2"	716	0	106	78	71	431	290	240
"UQCC3"	68	128	69	46	6	63	206	125
"UQCR10"	178	92	268	210	231	656	705	179
"UQCR10P1"	0	0	0	0	0	0	0	0
"UQCR11"	511	140	520	266	122	422	403	313
"UQCRB"	1984	1612	1800	1241	1050	4696	4610	2824
"UQCRBP1"	20	0	0	0	0	34	41	52
"UQCRBP2"	0	0	0	0	0	1	0	0
"UQCRBP3"	1	0	0	0	2	11	8	16
"UQCRC1"	1256	321	287	226	159	886	675	1100
"UQCRC2"	2515	199	562	467	592	3924	4525	3514
"UQCRC2P1"	0	0	0	0	0	1	0	0
"UQCRFS1"	647	189	276	154	305	1093	1113	1099
"UQCRFS1P1"	0	0	2	0	0	0	0	0
"UQCRFS1P2"	0	0	0	0	0	0	0	0
"UQCRFS1P3"	0	0	0	0	0	0	0	0
"UQCRH"	698	470	657	399	325	916	1179	661
"UQCRHL"	233	124	26	61	18	171	191	164
"UQCRHP1"	0	0	0	0	0	0	0	0
"UQCRHP2"	0	0	0	0	0	0	0	0
"UQCRHP3"	2	0	0	0	0	0	0	0
"UQCRHP4"	0	0	0	0	0	0	1	0
"UQCRQ"	333	156	523	210	211	272	104	280
"URAD"	2	0	0	0	0	0	0	0
"URAHP"	78	0	0	0	5	9	38	8
"URB1"	3386	213	215	174	456	2695	2818	2382
"URB2"	614	51	25	69	199	991	889	737
"URGCP"	2327	224	227	202	246	1160	1215	1245
"URGCP-MRPS24"	54	0	0	0	0	30	0	78
"URI1"	2261	359	541	348	661	3145	3548	2759
"URM1"	285	218	233	161	61	472	511	189
"UROC1"	3	0	4	0	3	0	0	0
"UROD"	864	231	206	193	189	684	1134	791
"UROS"	916	112	221	137	333	866	907	1162
"USB1"	594	84	205	70	160	147	131	361
"USE1"	260	187	113	121	184	204	219	157
"USF1"	1208	222	311	225	212	660	616	742
"USF1P1"	13	0	5	0	0	0	22	0
"USF2"	2866	395	615	475	142	955	743	1003
"USF3"	2169	460	477	416	730	3246	4814	3491
"USH1C"	0	0	0	0	0	0	2	1
"USH1G"	17	10	0	0	2	8	0	3
"USH2A"	40	46	5	0	9	171	88	66
"USHBP1"	297	84	142	127	43	194	226	305
"USO1"	3972	662	754	506	962	5313	5996	5215
"USP1"	1136	364	356	354	283	1405	1934	1431
"USP10"	2342	151	240	250	390	2550	3239	2413
"USP11"	1941	354	224	291	88	858	627	699
"USP12"	2232	762	642	482	738	3435	3198	3407
"USP12P1"	2	0	0	0	0	4	1	1
"USP12P2"	86	0	0	3	6	58	95	30
"USP12PX"	0	0	0	0	0	2	0	0
"USP12PY"	0	0	0	0	0	0	0	0
"USP13"	1521	221	286	315	278	1179	849	1444
"USP14"	1484	462	443	276	359	2588	2536	2201
"USP15"	3732	459	393	365	1451	7925	9997	11596
"USP16"	1724	441	343	275	543	1891	3157	2773
"USP17L1"	16	0	0	0	0	9	2	0
"USP17L10"	0	0	0	0	0	0	0	0
"USP17L11"	4	6	1	0	0	3	0	7
"USP17L12"	0	0	1	0	0	0	0	0
"USP17L13"	9	0	1	0	11	0	0	0
"USP17L14P"	0	0	0	0	0	0	0	0
"USP17L15"	26	0	0	0	0	3	8	16
"USP17L16P"	0	0	1	0	0	0	0	0
"USP17L17"	0	0	1	0	0	0	0	0
"USP17L18"	0	6	1	0	0	3	0	0
"USP17L19"	0	0	1	0	0	0	0	0
"USP17L2"	313	109	2	0	19	177	174	96
"USP17L20"	0	6	1	0	0	3	0	0
"USP17L21"	0	0	1	0	0	0	0	0
"USP17L22"	0	0	1	0	0	0	0	0
"USP17L23"	7	0	0	0	0	8	0	0
"USP17L24"	0	0	1	0	1	0	0	0
"USP17L25"	0	0	1	0	1	0	0	0
"USP17L26"	0	0	1	0	1	0	0	0
"USP17L27"	0	0	1	0	1	0	0	0
"USP17L28"	0	0	1	0	1	0	0	0
"USP17L29"	0	0	1	0	1	0	0	0
"USP17L3"	0	0	0	0	0	0	0	7
"USP17L30"	0	0	1	0	1	0	0	0
"USP17L4"	21	0	0	0	0	14	14	8
"USP17L5"	0	0	1	0	0	0	0	0
"USP17L6P"	16	0	0	16	4	12	13	34
"USP17L7"	182	0	0	0	0	99	145	39
"USP17L8"	0	0	0	0	0	0	0	3
"USP17L9P"	1	0	1	0	0	0	0	0
"USP18"	205	0	26	53	55	171	193	38
"USP19"	2660	580	318	356	151	71	39	722
"USP2"	51	262	112	45	35	0	0	0
"USP20"	1847	184	144	140	134	291	554	504
"USP21"	267	33	62	80	53	430	279	202
"USP21P1"	23	0	16	19	4	25	23	32
"USP21P2"	0	0	0	0	0	0	0	0
"USP22"	6873	1317	1385	1154	1539	6829	5119	5232
"USP24"	7992	512	613	620	2401	9127	15690	9978
"USP24P1"	0	0	0	0	0	0	0	0
"USP25"	2817	452	371	261	1231	6164	7248	7323
"USP26"	17	29	4	0	6	26	31	20
"USP27X"	229	11	88	29	9	66	66	46
"USP28"	950	108	155	87	242	1606	1538	1099
"USP29"	16	0	8	0	8	43	26	21
"USP3"	2408	239	338	252	1008	4677	4884	4381
"USP30"	457	78	40	30	86	649	461	591
"USP31"	1152	134	138	163	121	2545	1238	2011
"USP32"	2420	422	525	328	734	4073	3877	4748
"USP32P1"	1511	79	85	22	79	816	449	2420
"USP32P2"	433	13	72	35	56	200	319	79
"USP32P3"	5493	873	220	153	602	3489	3237	5039
"USP33"	5692	948	689	420	1230	6988	7980	7441
"USP34"	9659	1610	1465	1338	2978	17565	20047	16223
"USP35"	1038	114	240	96	146	590	381	126
"USP36"	3688	630	686	349	302	1522	747	1457
"USP37"	1361	361	268	163	158	1673	2220	1631
"USP37P1"	0	0	0	0	0	0	0	0
"USP38"	1238	157	245	144	794	3659	3482	2636
"USP39"	604	172	210	140	203	350	294	517
"USP4"	4011	487	527	368	340	2274	2380	2894
"USP40"	3319	265	208	158	464	2856	2345	2512
"USP41"	19	0	0	0	5	2	9	42
"USP42"	626	231	123	141	162	244	528	445
"USP43"	56	14	9	5	1	1	18	4
"USP44"	29	0	9	0	22	72	23	48
"USP45"	1268	354	90	76	201	1913	2135	1970
"USP46"	1497	267	304	197	305	2189	1352	1682
"USP47"	4636	928	781	701	1173	5860	7289	5409
"USP48"	3610	528	496	340	854	3848	4289	4861
"USP49"	681	281	139	93	160	821	756	652
"USP5"	1718	401	275	285	76	168	71	369
"USP50"	67	15	8	5	56	197	105	88
"USP51"	255	24	60	26	33	137	210	250
"USP53"	3660	963	708	696	869	6239	7813	8987
"USP54"	1377	184	147	191	246	958	1059	1689
"USP6"	257	25	16	39	46	161	85	244
"USP6NL"	1789	87	202	132	224	775	2637	882
"USP7"	4443	529	490	511	1028	4930	4877	4348
"USP8"	4733	2363	1527	1152	1088	5741	6398	5272
"USP8P1"	0	0	0	0	1	1	0	0
"USP8P2"	0	0	0	0	0	4	8	9
"USP9X"	11714	1870	2675	1876	3253	19035	20209	14280
"USP9Y"	388	185	65	60	72	328	396	352
"USP9YP1"	0	0	0	0	0	0	0	0
"USP9YP10"	0	0	0	0	0	0	0	0
"USP9YP11"	0	0	0	0	0	0	0	0
"USP9YP12"	0	0	0	0	0	0	0	0
"USP9YP13"	3	0	0	0	0	0	3	1
"USP9YP14"	0	0	0	0	0	0	0	0
"USP9YP15"	0	0	0	0	0	0	0	0
"USP9YP16"	0	0	0	0	0	0	0	0
"USP9YP17"	0	0	0	0	0	0	0	0
"USP9YP18"	0	0	0	0	0	0	0	0
"USP9YP19"	0	0	0	0	0	0	0	0
"USP9YP2"	0	0	0	0	0	0	0	0
"USP9YP20"	0	0	0	0	0	0	0	0
"USP9YP21"	6	30	0	0	3	10	12	5
"USP9YP22"	0	0	0	0	0	0	0	0
"USP9YP23"	0	0	0	0	0	0	0	0
"USP9YP24"	0	0	0	0	0	0	0	0
"USP9YP25"	0	0	0	0	0	0	0	0
"USP9YP26"	0	0	0	0	0	0	0	0
"USP9YP27"	0	0	0	0	0	0	0	0
"USP9YP28"	0	0	0	0	0	0	0	0
"USP9YP29"	0	0	0	0	0	0	0	0
"USP9YP3"	22	3	10	0	4	22	37	26
"USP9YP30"	0	0	0	0	0	0	0	0
"USP9YP31"	0	0	0	0	0	0	0	0
"USP9YP32"	0	0	0	0	0	0	0	0
"USP9YP33"	0	0	0	0	0	0	0	0
"USP9YP34"	0	0	0	0	0	0	0	0
"USP9YP35"	0	0	0	0	0	0	0	0
"USP9YP36"	0	0	0	0	0	0	0	0
"USP9YP4"	6	44	13	25	8	16	38	13
"USP9YP5"	0	0	0	0	0	0	0	0
"USP9YP6"	0	0	0	0	0	0	0	0
"USP9YP7"	0	0	0	0	0	0	0	0
"USP9YP8"	0	0	0	0	0	0	0	0
"USP9YP9"	0	0	0	0	0	0	0	0
"USPL1"	1016	129	88	34	286	2127	1993	1831
"UST"	6102	283	434	581	234	952	1725	1771
"UTF1"	2	0	2	0	0	0	0	0
"UTP11"	615	219	141	149	92	607	684	630
"UTP14A"	800	287	192	139	147	189	391	361
"UTP14C"	339	0	0	0	0	0	0	0
"UTP15"	521	22	96	76	27	603	457	895
"UTP18"	929	282	218	130	139	1473	1571	1159
"UTP20"	2322	391	246	282	295	2596	3349	2673
"UTP23"	1110	104	202	141	303	690	981	848
"UTP25"	842	154	191	164	259	1104	1325	852
"UTP3"	751	97	220	157	5	489	536	368
"UTP4"	599	106	90	98	102	470	427	584
"UTP6"	1749	220	198	231	287	1950	2358	1419
"UTRN"	23296	3594	2489	2587	4267	26554	32931	38929
"UTS2"	5	0	0	0	5	4	0	0
"UTS2B"	347	128	16	0	53	331	293	404
"UTS2R"	445	306	135	231	164	489	616	470
"UTY"	26	60	5	19	5	17	16	32
"UVRAG"	2437	207	246	166	574	2744	3628	2528
"UVSSA"	5570	1031	543	270	452	1949	1291	2063
"UXS1"	1095	83	75	71	380	1034	1619	699
"UXT"	297	165	381	188	172	290	636	433
"VAC14"	1871	202	160	143	464	1424	758	1005
"VAMP1"	1447	72	49	49	237	922	412	235
"VAMP2"	1354	365	386	280	76	138	65	852
"VAMP3"	1819	586	980	764	936	5006	4035	3399
"VAMP4"	595	103	125	153	198	670	630	760
"VAMP5"	86	59	130	74	69	84	32	44
"VAMP7"	373	316	387	217	444	2118	1918	1494
"VAMP8"	657	183	326	236	115	285	194	18
"VAMP9P"	0	0	0	0	0	4	5	0
"VANGL1"	686	252	79	112	144	2192	1270	832
"VANGL2"	23	57	7	4	7	62	90	56
"VAPA"	3218	795	787	552	479	5777	5237	5058
"VAPB"	3018	1024	1154	917	388	3945	2585	2605
"VARS1"	427	394	198	206	57	137	65	156
"VARS2"	406	278	127	101	82	341	204	196
"VASH1"	6671	1848	973	1015	570	1898	1723	1255
"VASH2"	256	28	41	36	79	265	298	213
"VASN"	4105	1369	640	450	38	208	30	343
"VASP"	2208	341	472	426	153	900	1308	1289
"VAT1"	7555	3011	2485	1919	283	2302	959	3014
"VAT1L"	1513	251	231	101	75	503	1612	320
"VAV1"	1427	77	173	135	204	349	1881	1340
"VAV2"	2654	352	334	217	401	1297	1354	822
"VAV3"	2701	103	96	60	428	2254	4186	1983
"VAX1"	28	0	3	3	2	10	9	24
"VAX2"	22	0	32	0	0	2	4	7
"VBP1"	275	8	143	69	121	710	555	458
"VCAM1"	13010	615	931	492	1807	10649	43928	5393
